axis,value,task,seed,acc,eps,support_size,support
r0,0,country-capital,0,0.8,0.7472,4,country-currency|park-country|present-past|animal-from-list
r0,0,country-capital,1,0.72,0.7112,4,country-currency|park-country|present-past|animal-from-list
r0,0,country-capital,2,0.76,0.7071,5,country-currency|landmark-country|park-country|present-past|animal-from-list
r0,0,country-currency,0,0.0,0.6635,5,country-capital|park-country|person-occupation|person-instrument|product-company
r0,0,country-currency,1,0.0,0.7088,5,country-capital|park-country|present-past|singular-plural|animal-from-list
r0,0,country-currency,2,0.0,0.6575,5,country-capital|park-country|person-instrument|present-past|animal-from-list
r0,0,landmark-country,0,0.28,0.5799,5,country-capital|park-country|person-occupation|person-sport|product-company
r0,0,landmark-country,1,0.44,0.6309,5,country-capital|country-currency|park-country|person-occupation|product-company
r0,0,landmark-country,2,0.6,0.5506,5,country-capital|park-country|person-occupation|product-company|next-capital-letter
r0,0,park-country,0,0.44,0.6151,5,country-capital|landmark-country|person-occupation|person-instrument|product-company
r0,0,park-country,1,0.76,0.5269,5,country-capital|landmark-country|person-occupation|person-sport|product-company
r0,0,park-country,2,0.76,0.6032,3,country-capital|landmark-country|product-company
r0,0,person-occupation,0,0.0,0.687,5,park-country|person-sport|person-instrument|product-company|synonym
r0,0,person-occupation,1,0.0,0.7168,5,park-country|person-sport|person-instrument|product-company|alphabetically-first
r0,0,person-occupation,2,0.0,0.7001,4,park-country|person-sport|person-instrument|product-company
r0,0,person-sport,0,0.0,0.6637,4,park-country|person-occupation|person-instrument|product-company
r0,0,person-sport,1,0.0,0.6173,5,landmark-country|park-country|person-occupation|person-instrument|product-company
r0,0,person-sport,2,0.0,0.6827,5,park-country|person-occupation|person-instrument|product-company|singular-plural
r0,0,person-instrument,0,0.0,0.8008,4,park-country|person-occupation|person-sport|animal-from-list
r0,0,person-instrument,1,0.0,0.8033,4,person-occupation|person-sport|product-company|fruit-from-list
r0,0,person-instrument,2,0.0,0.8653,4,park-country|person-occupation|person-sport|fruit-from-list
r0,0,product-company,0,0.4,0.7692,5,country-capital|landmark-country|park-country|person-occupation|person-instrument
r0,0,product-company,1,0.24,0.7453,4,country-capital|landmark-country|park-country|person-instrument
r0,0,product-company,2,0.08,0.7789,5,country-capital|landmark-country|park-country|person-occupation|person-instrument
